Date,Price,Open,High,Low,Change %
"Aug 06, 2018",95.36,95.2,95.52,95.2,0.23%
"Aug 07, 2018",95.22,95.34,95.37,94.99,-0.15%
"Aug 08, 2018",95.05,95.14,95.42,94.99,-0.18%
"Aug 09, 2018",95.5,95.1,95.62,95.03,0.47%
"Aug 10, 2018",96.36,95.64,96.45,95.53,0.90%
"Aug 13, 2018",96.39,96.32,96.52,96.16,0.03%
"Aug 14, 2018",96.73,96.33,96.79,96.14,0.35%
"Aug 15, 2018",96.7,96.66,96.98,96.65,-0.03%
"Aug 16, 2018",96.64,96.72,96.77,96.32,-0.06%
"Aug 17, 2018",96.1,96.61,96.66,96.09,-0.56%
"Aug 20, 2018",95.9,96.13,96.4,95.73,-0.21%
"Aug 21, 2018",95.26,95.74,95.75,95.08,-0.67%
"Aug 22, 2018",95.15,95.21,95.38,94.93,-0.12%
"Aug 23, 2018",95.67,95.17,95.71,95.15,0.55%
"Aug 24, 2018",95.15,95.64,95.69,95.03,-0.54%
"Aug 27, 2018",94.78,95.17,95.3,94.69,-0.39%
"Aug 28, 2018",94.72,94.77,94.91,94.43,-0.06%
"Aug 29, 2018",94.6,94.73,94.93,94.53,-0.13%
"Aug 30, 2018",94.72,94.53,94.9,94.47,0.13%
"Aug 31, 2018",95.14,94.7,95.22,94.55,0.44%
"Sep 03, 2018",95.14,95.19,95.22,95.01,0.00%
"Sep 04, 2018",95.44,95.14,95.74,95.14,0.32%
"Sep 05, 2018",95.18,95.4,95.66,95.08,-0.27%
"Sep 06, 2018",95.02,95.1,95.21,94.93,-0.17%
"Sep 07, 2018",95.36,95.02,95.46,94.87,0.36%
"Sep 10, 2018",95.15,95.43,95.56,95.03,-0.22%
"Sep 11, 2018",95.25,95.15,95.35,94.88,0.11%
"Sep 12, 2018",94.8,95.1,95.28,94.73,-0.47%
"Sep 13, 2018",94.52,94.83,94.97,94.43,-0.30%
"Sep 14, 2018",94.93,94.55,95,94.36,0.43%
"Sep 17, 2018",94.5,94.93,94.98,94.44,-0.45%
"Sep 18, 2018",94.64,94.61,94.73,94.31,0.15%
"Sep 19, 2018",94.54,94.54,94.73,94.32,-0.11%
"Sep 20, 2018",93.91,94.55,94.56,93.83,-0.67%
"Sep 21, 2018",94.22,93.89,94.33,93.81,0.33%
"Sep 24, 2018",94.19,94.23,94.37,93.84,-0.03%
"Sep 25, 2018",94.13,94.25,94.37,94.01,-0.06%
"Sep 26, 2018",94.19,94.17,94.4,93.95,0.06%
"Sep 27, 2018",94.89,94.25,95.01,94.21,0.74%
"Sep 28, 2018",95.13,95.02,95.37,94.92,0.25%
"Oct 01, 2018",95.3,95.11,95.37,95,0.18%
"Oct 02, 2018",95.51,95.3,95.74,95.26,0.22%
"Oct 03, 2018",95.76,95.46,96.12,95.26,0.26%
"Oct 04, 2018",95.75,96.05,96.12,95.55,-0.01%
"Oct 05, 2018",95.62,95.76,95.94,95.52,-0.14%
"Oct 08, 2018",95.76,95.62,96.03,95.59,0.15%
"Oct 09, 2018",95.67,95.75,96.16,95.64,-0.09%
"Oct 10, 2018",95.51,95.59,95.79,95.38,-0.17%
"Oct 11, 2018",95.02,95.43,95.43,94.99,-0.51%
"Oct 12, 2018",95.22,95.04,95.37,94.95,0.21%
"Oct 15, 2018",95.06,95.35,95.37,94.95,-0.17%
"Oct 16, 2018",95.05,95.05,95.2,94.79,-0.01%
"Oct 17, 2018",95.58,95.09,95.66,95.06,0.56%
"Oct 18, 2018",95.9,95.66,95.99,95.49,0.33%
"Oct 19, 2018",95.71,95.95,96.09,95.54,-0.20%
"Oct 22, 2018",96.01,95.66,96.09,95.47,0.31%
"Oct 23, 2018",95.96,96.03,96.16,95.81,-0.05%
"Oct 24, 2018",96.43,95.92,96.53,95.91,0.49%
"Oct 25, 2018",96.68,96.36,96.73,96.21,0.26%
"Oct 26, 2018",96.36,96.59,96.86,96.29,-0.33%
"Oct 29, 2018",96.58,96.44,96.7,96.35,0.23%
"Oct 30, 2018",97.01,96.66,97.02,96.62,0.45%
"Oct 31, 2018",97.13,96.99,97.2,96.88,0.12%
"Nov 01, 2018",96.28,97.08,97.11,96.2,-0.88%
"Nov 02, 2018",96.54,96.31,96.59,95.99,0.27%
"Nov 05, 2018",96.28,96.44,96.68,96.25,-0.27%
"Nov 06, 2018",96.32,96.33,96.45,96.14,0.04%
"Nov 07, 2018",96,95.99,96.46,95.68,-0.33%
"Nov 08, 2018",96.72,96.19,96.74,96.07,0.75%
"Nov 09, 2018",96.91,96.63,97.01,96.62,0.20%
"Nov 12, 2018",97.54,97.05,97.69,96.97,0.65%
"Nov 13, 2018",97.3,97.6,97.66,96.94,-0.25%
"Nov 14, 2018",96.8,97.03,97.41,96.75,-0.51%
"Nov 15, 2018",96.93,97.01,97.39,96.77,0.13%
"Nov 16, 2018",96.47,97.05,97.06,96.4,-0.47%
"Nov 19, 2018",96.19,96.43,96.57,96.12,-0.29%
"Nov 20, 2018",96.84,96.2,96.89,96.04,0.68%
"Nov 21, 2018",96.71,96.82,96.87,96.5,-0.13%
"Nov 22, 2018",96.71,96.72,96.72,96.32,0.00%
"Nov 23, 2018",96.92,96.51,96.98,96.4,0.22%
"Nov 26, 2018",97.07,96.93,97.1,96.66,0.15%
"Nov 27, 2018",97.37,97.03,97.5,96.97,0.31%
"Nov 28, 2018",96.79,97.37,97.54,96.69,-0.60%
"Nov 29, 2018",96.78,96.84,97,96.63,-0.01%
"Nov 30, 2018",97.27,96.76,97.31,96.71,0.51%
"Dec 03, 2018",97.04,97.13,97.16,96.71,-0.24%
"Dec 04, 2018",96.97,96.94,97.13,96.38,-0.07%
"Dec 05, 2018",97.07,97.01,97.2,96.83,0.10%
"Dec 06, 2018",96.81,97.01,97.2,96.55,-0.27%
"Dec 07, 2018",96.51,96.8,96.92,96.51,-0.31%
"Dec 10, 2018",97.22,96.72,97.24,96.36,0.74%
"Dec 11, 2018",97.39,97.18,97.55,96.87,0.17%
"Dec 12, 2018",97.04,97.38,97.49,96.89,-0.36%
"Dec 13, 2018",97.06,97.04,97.29,96.88,0.02%
