Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2024-01-23,476.44684499370544,477.52963230577734,475.3443509765863,477.2835388183594,49945300,23,1,4,1,2024
2024-01-24,480.1874353770752,481.1324259207397,477.3032270260809,477.8052673339844,81765000,24,2,4,1,2024
2024-01-25,479.96104191877174,480.67964572380765,477.80529058508233,480.4040222167969,72525000,25,3,4,1,2024
2024-01-26,479.9709117984805,481.4770028066331,478.93733112177756,479.7937316894531,76641600,26,4,4,1,2024
2024-01-29,480.1087519028763,483.74109444230595,479.5575048545731,483.5934143066406,61322800,29,0,5,1,2024
2024-01-30,482.8945001134222,483.9379341352055,482.4515198034891,483.2193603515625,58618400,30,1,5,1,2024
2024-01-31,480.9848000978878,481.4376037086251,475.3147964685509,475.3345031738281,126011100,31,2,5,1,2024
2024-02-01,477.0571593861526,481.5852856325511,476.24011217253945,481.5557556152344,91891600,1,3,5,2,2024
2024-02-02,481.9987050154295,488.29869237101855,481.65416812020857,486.6252746582031,99147700,2,4,5,2,2024
2024-02-05,485.9854170794442,486.65478413631985,482.56963837008004,484.8533630371094,75757100,5,0,6,2,2024
2024-02-06,485.80824421290174,486.5957614349735,484.36121323559956,486.2610778808594,55918600,6,1,6,2,2024
2024-02-07,488.5349664241499,490.7399545059153,487.6194758002834,490.3166809082031,70556500,7,2,6,2,2024
2024-02-08,490.316670172096,490.91712386165034,489.48979965953936,490.5332336425781,52343600,8,3,6,2,2024
2024-02-09,491.04505663079715,493.8111447961844,490.70051976891017,493.3681945800781,63979400,9,4,6,2,2024
2024-02-12,493.3387363462197,495.6323145741017,492.4232456849837,493.1517028808594,56502300,12,0,7,2,2024
2024-02-13,486.8024468452015,489.3224417464559,483.05198451010375,486.3594665527344,113099200,13,1,7,2,2024
2024-02-14,489.02714296345175,491.2715143675092,486.67447480374074,490.7793273925781,68387800,14,2,7,2,2024
2024-02-15,491.48805961534737,494.3525913081241,491.00569597011724,494.1655578613281,61683000,15,3,7,2,2024
2024-02-16,493.86043227431986,495.01213299527757,490.9565170494229,491.70465087890625,75461200,16,4,7,2,2024
2024-02-20,489.94261022228915,490.62183066023255,486.7237181769076,488.99761962890625,71736700,20,1,8,2,2024
2024-02-21,487.678574465774,489.5980857183923,485.84762322650084,489.4405822753906,59603800,21,2,8,2,2024
2024-02-22,496.13433813189937,500.5443143261037,495.15978746625774,499.5697937011719,76402500,22,3,8,2,2024
2024-02-23,501.3121314021241,502.1587086552498,499.1760566652179,499.9143371582031,61321800,23,4,8,2,2024
2024-02-26,500.3572754842892,500.8002557857889,497.9554006011949,498.0833740234375,50386700,26,0,9,2,2024
2024-02-27,498.78228021530845,499.23508380977466,496.86273904372996,499.0086669921875,48854500,27,1,9,2,2024
2024-02-28,497.433661032477,498.9397519322539,497.06944748767006,498.3491516113281,56506600,28,2,9,2,2024
2024-02-29,500.1308627236774,501.77475034063974,497.453364470466,500.14068603515625,83924800,29,3,9,2,2024
2024-03-01,501.026658822268,505.26927805992636,500.6132085495344,504.8361511230469,76805900,1,4,9,3,2024
2024-03-04,504.02902917243324,506.1651038495938,503.99946911445886,504.2947692871094,49799300,4,0,10,3,2024
2024-03-05,502.2669732551775,502.7198069182755,497.02027312508204,499.2547912597656,72855600,5,1,10,3,2024
2024-03-06,502.57212462068674,504.0683922997588,500.47543327269375,501.7846374511719,68382400,6,2,10,3,2024
2024-03-07,505.12164582984065,507.8286740996663,501.8436638657645,506.7655334472656,58652100,7,3,10,3,2024
2024-03-08,507.40542549133613,510.1222471656115,503.1430694012387,503.7238464355469,86425500,8,4,10,3,2024
2024-03-11,502.50322330785735,503.8813408255942,500.5541520780311,503.29071044921875,62557200,11,0,11,3,2024
2024-03-12,505.4267910389835,509.2953732567319,502.87723620181947,508.70477294921875,73114400,12,1,11,3,2024
2024-03-13,509.0296104159743,509.2067905212248,506.4505554149632,507.90740966796875,55104100,13,2,11,3,2024
2024-03-14,508.8917758861152,509.0493093648836,503.8222860546738,506.90338134765625,110171800,14,3,11,3,2024
2024-03-15,503.79789760629797,505.26919243547775,501.7341674193777,503.42266845703125,107585800,15,4,11,3,2024
2024-03-18,507.54023814731886,509.00161876903627,505.9998460609416,506.41455078125,88893300,18,0,12,3,2024
2024-03-19,505.7135939252134,509.51518505530515,504.69650949147376,509.2288513183594,60755300,19,1,12,3,2024
2024-03-20,509.28801383732645,514.0770367347149,508.60668308986254,513.9387817382812,69594600,20,2,12,3,2024
2024-03-21,516.8123151624139,517.5232376399493,515.3508740673177,515.6372680664062,60256100,21,3,12,3,2024
2024-03-22,515.5483209766468,516.0420371815087,514.4226335652195,514.65966796875,79023000,22,4,12,3,2024
